op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0036,7.864,200,True,False,,http://localhost:8012
read,key-0053,1.52,404,True,False,,http://localhost:8015
write,key-0063,1228.057,201,True,,,http://localhost:8011
write,key-0061,1236.167,201,True,,,http://localhost:8011
write,key-0017,1236.66,201,True,,,http://localhost:8011
write,key-0071,1225.453,201,True,,,http://localhost:8011
read,key-0063,4.366,200,True,False,3698.719,http://localhost:8014
write,key-0072,1226.062,201,True,,,http://localhost:8011
read,key-0061,5.234,200,True,False,3693.038,http://localhost:8015
write,key-0060,1229.591,201,True,,,http://localhost:8011
write,key-0040,1228.399,201,True,,,http://localhost:8011
write,key-0034,1235.92,201,True,,,http://localhost:8011
read,key-0017,4.64,200,True,False,6155.897,http://localhost:8012
write,key-0068,1230.429,201,True,,,http://localhost:8011
write,key-0050,1233.763,201,True,,,http://localhost:8011
write,key-0019,1232.085,201,True,,,http://localhost:8011
write,key-0080,1228.698,201,True,,,http://localhost:8011
read,key-0071,3.766,200,True,False,9861.076,http://localhost:8013
read,key-0072,3.699,200,True,False,8634.257,http://localhost:8015
read,key-0060,3.184,200,True,False,7402.927,http://localhost:8013
write,key-0084,1226.232,201,True,,,http://localhost:8011
read,key-0040,6.158,200,True,False,7403.955,http://localhost:8012
write,key-0017,1229.562,201,True,,,http://localhost:8011
read,key-0034,4.758,200,True,False,7403.87,http://localhost:8012
read,key-0068,4.506,200,True,False,6173.46,http://localhost:8012
read,key-0050,3.808,200,True,False,4944.018,http://localhost:8012
read,key-0019,3.357,200,True,False,3715.389,http://localhost:8012
write,key-0090,1228.197,201,True,,,http://localhost:8011
write,key-0016,1234.53,201,True,,,http://localhost:8011
write,key-0090,1217.987,201,True,,,http://localhost:8011
read,key-0080,5.091,200,True,False,6171.04,http://localhost:8013
read,key-0084,3.66,200,True,False,4939.066,http://localhost:8014
write,key-0028,1230.253,201,True,,,http://localhost:8011
read,key-0017,22.243,200,True,False,4943.378,http://localhost:8012
read,key-0090,2.444,200,True,False,3720.663,http://localhost:8012
read,key-0016,8.077,200,True,False,2488.485,http://localhost:8015
read,key-0090,2.736,200,True,False,1278.394,http://localhost:8015
write,key-0052,1221.121,201,True,,,http://localhost:8011
read,key-0028,2.721,200,True,False,1256.94,http://localhost:8014
read,key-0052,2.464,200,True,False,2.771,http://localhost:8015
write,key-0087,1227.295,201,True,,,http://localhost:8011
write,key-0028,1228.23,201,True,,,http://localhost:8011
read,key-0087,4.207,200,True,False,1228.381,http://localhost:8014
write,key-0036,1229.726,201,True,,,http://localhost:8011
read,key-0028,5.831,200,True,False,1234.174,http://localhost:8013
read,key-0036,4.546,200,True,False,5.934,http://localhost:8013
write,key-0079,1233.668,201,True,,,http://localhost:8011
read,key-0079,5.17,200,True,False,0.01,http://localhost:8013
read,key-0068,4.321,200,True,False,,http://localhost:8014
read,key-0002,3.16,200,True,False,,http://localhost:8015
